,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12,BF13,BF14,BF15,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Speed,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreatePrecedent,MinMaxCompensation,CreativeSolution,ControlOfProcess,ControlOfOutcome,ShiftResponsibility,EnsuringCompliance,TransformationOfTheParties,ImproveUnderstanding,RecognitionApology,Classification,StrengthPosition
MaritalStatus,1.0,-0.47266919346212083,-0.349612591189271,0.013764422849086525,-0.14006749628859924,0.23877618530094127,0.03196453327054437,0.06574394767712698,-0.07654319628922779,-0.030794263697074428,-0.03304040558253238,-0.07098412410385052,-0.07392768175082896,-0.010288638387216945,-0.016798556581911532,0.16585918345664075,0.09819812107218684,-0.026867265795005424,-0.04942888123553839,-0.018669570907601702,0.032159186240130755,0.03563087932386277,0.09384204434063227,0.07349615163872103,0.08954866637188441,0.03222969734386324,0.0035239699409081626,-0.10866243559035177,0.2366161147078874,-0.14966311036633423,0.07212810784551764,0.0333026104858867,0.11590816374733913,-0.0013972179692731182,-0.028584504385498203,0.0384194509596539,0.02859307079082423,-0.03886638040966506,0.025226124840103184,0.010127973154940103,-0.46058954290011983,0.054244593581311645,-0.03830507447551725,-0.051826164972011424,-0.004976127676700261,-0.06744688308869252,0.2150351333930825,0.19823283566915537,0.05949540203271641,-0.00713019872782394,-0.022345359991475147,0.048388011458113146,0.03467579433198454,-0.0064870574373777625,-0.05274719572679339,0.03700731098013484,0.07735378731417601,-0.0878298830463662,0.014097825540580007,0.003378894541066643,-0.006144252556976442,0.03046217202670413,-0.004464651764326437,0.006918265872036887,0.04473088550828795,-0.0007563790705076094,0.04092819449051913
NumberOfChildren,-0.47266919346212083,1.0,0.5739985695508909,-0.003959081153953096,0.15398369563391923,-0.09226444223589346,-0.018992666891804132,0.04110829684984676,0.12174284187461536,0.08846261534001158,0.0886037853471819,0.07413970266724508,0.05736294618342769,0.03762764399779208,0.019322965219602764,-0.14414422607856348,-0.11429886584476116,0.08510620424342857,0.056458735902160044,0.061381027434641494,-0.047367444303467184,0.014928069338508787,-0.05408536592582615,-0.0526293212496858,-0.08887993944207472,0.023172196839005777,0.045232254375498146,0.18731848390648714,-0.258056387406619,0.1287081157002102,-0.013783214081801894,-0.04351899234304122,-0.061003855078623354,-0.010724978561478958,0.08197235571972213,-0.06554286483079817,0.0015847836690606205,0.028148344764975606,0.05719512975211436,-0.016682654391098853,0.5874944656504841,-0.062100282671533724,-0.0020355085099164824,0.13938796032039352,0.140331738106958,0.13380366392238682,-0.20390780496279548,-0.14609982933832422,-0.12461003686148507,0.027960804419051737,0.024279188782820208,0.032322629488617124,-0.007042469398876557,0.006914533671675721,0.04885302775061516,0.01549390608270461,0.0029507440825800356,0.09192584165601915,0.020580929133167464,0.020075101400037373,0.03861889496176776,0.02897464108305647,0.07616889309342172,0.04932543853937297,0.04227056141348698,-0.03507306185725252,-0.03179029753080767
NumberOfYoungChildren,-0.349612591189271,0.5739985695508909,1.0,-0.009315336729837984,0.13457960414686992,-0.14039706183290934,0.03328140212698299,-0.005873000409320402,0.07523948055917089,0.0626250724536397,0.048170078232264296,0.028841846126981253,0.004153287956578739,0.011146036493610593,0.010329853279848655,-0.09458277714265308,-0.06828629997035915,0.03184784961259735,0.054251068697891654,0.03807304995467435,-0.030024691153326715,-0.031284777065639334,-0.043949729721223095,-0.05233632105909888,-0.0428611348166833,0.029597242997012673,0.06470885657245629,0.11073841790984172,-0.18930979891641805,0.13624464587950638,-0.0031626389446748433,0.027850137866825754,-0.018623309413119123,0.010496079963944041,0.08145866180794822,-0.0011192857065171543,0.041010556662303535,0.009413860699155004,0.0267027195389807,0.015431847276471495,0.3707313089881006,0.00160839084001706,-0.02280102935830375,0.002799658494549514,0.06272767737416972,0.047308723835614956,-0.14027733581417312,-0.09391219770145742,-0.06599212039035253,0.022582061070355857,-0.015912450683678424,0.005001949181115247,-0.003041119209634363,0.007530044819229253,0.024437751976551604,0.03583937885413384,-0.006558933293908276,0.06536843266793406,0.017750738494106123,0.032666114687172225,0.01352462240500117,0.030859269020021337,0.027523917402097697,0.064319415566353,-0.015145120433086724,-0.02818817293003535,-0.03561644729416892
Minority,0.013764422849086525,-0.003959081153953096,-0.009315336729837984,1.0,0.12887415699196586,0.019727354073768136,0.04917934378195542,0.05069695611389757,0.074897154879811,0.03386844771163684,0.04074175991509014,0.06456587693547053,0.05436854072745211,0.07098505685295044,0.06786657010347866,0.0796308010292901,0.07936599083238743,0.003227299720974029,0.059503659369275326,0.04463131027177114,0.051274765307704154,0.038649305162427844,0.07536916830200197,0.07714819600209304,-0.005603047004186046,0.045245567287208036,0.04823036369173014,0.13177007258965978,0.017534951690147425,0.023674444716193996,0.06471593219106225,0.005886234376902816,0.05056720823273383,0.08522130188170723,-0.028192679189935538,0.0005783276549738189,0.03738920192240475,-0.02523249889116154,0.013738651409101832,-0.008844125221571941,-0.04604333075949786,-0.06253631097965268,-0.392216704297267,0.02796862197886987,-0.08695718870151332,0.024870491860463244,0.07761546935047009,0.06581864155329016,0.00734650231864407,0.06939775038069443,-0.019210717697205566,0.04273320670486079,0.031173129878788505,0.07146672986679176,0.008539083121248087,0.06847757096501085,0.07800898391701898,0.023917356985483827,0.06423507266695469,0.08090627437985336,0.006479150909817431,0.1162514782413035,0.08605299792170348,0.10774539583599935,0.048899301383873287,0.03699626009073448,-0.004017936239179374
Debts,-0.14006749628859924,0.15398369563391923,0.13457960414686992,0.12887415699196586,1.0,-0.012735930390794018,0.03325817781799957,0.06257653590617593,0.17227977680367934,0.1540030111807264,0.13847608672600803,0.12043254521118028,0.10841613701156692,0.04666988615451068,0.015831740318910003,0.03650373601725677,0.0788732560471345,-0.01430299386968773,0.08982009415949958,0.1008825362534023,-0.013879175776014788,0.04617787552479275,0.005179043195304903,-0.029134747394849586,-0.011310978722736672,-0.01628024542910749,0.00905352178753897,0.08332374968057739,-0.08028355193384502,0.018053889000440745,0.0006562153167966071,0.07215483636972525,0.05715326626250097,0.05822317466714151,0.08355491389541397,0.04781935139738537,0.07842621182773954,0.0004178023423193993,-0.02228405156878001,0.0014001082235925249,0.13011686985195742,-0.033609979208357545,-0.10111645486441295,0.14507710722012956,0.10278234694588226,0.1837790413664642,-0.020866395709226493,0.029241275064742694,-0.03793835591041118,0.030088640284245523,0.009616978519358322,0.05409044599638396,0.03908352712562241,0.0398811873562382,0.05911656081709901,0.03970861991396833,0.0712769261194344,0.05337813127440052,-0.0035936437710423733,0.04769147999371108,0.001846848448968454,0.048938053734473345,0.07910075360131603,0.06060683070738409,0.06608202372842022,0.007033884063264924,0.05222747506652729
Income,0.23877618530094127,-0.09226444223589346,-0.14039706183290934,0.019727354073768136,-0.012735930390794018,1.0,0.0012811853518829431,-0.0018390757914153182,0.07130845797514464,0.08238236014835304,0.053293307455704986,0.07240968595103536,0.054837835770878834,0.012050693152870124,-0.028880790512950852,0.16970058362875062,0.1498817116730859,-0.0919690954045091,-0.059122752464242624,-0.09439088798861477,0.11075081292595633,-0.008350283886951635,0.10642085254562776,0.04452431153034477,0.07785199562991528,0.008840823704262075,-0.0360241383252408,-0.11004470432257728,0.18693614999564792,-0.15576778840512445,0.07266335964588747,0.10568396369491288,0.05658362513924118,0.02864137503965023,0.0022931279962373095,0.09922175942887072,0.057072412706770985,0.08036225170272243,-0.018124525277561237,0.020511484460698955,-0.10224927816410981,0.030647259970152187,0.01789014735038392,0.05347358280816026,0.10313979371162062,0.04809858073356079,0.16478524360072402,0.2798164058304006,0.02913095848886507,0.08546094890779171,-0.002374640902541444,0.09930062648592389,0.042252462451977134,0.029251127448324202,-0.03399064717358455,0.044822246504146006,0.06866262789456566,-0.011975741234128952,-0.005093150912031806,0.02560726993993313,0.05306403075284897,0.008010239371352191,-0.0005921111225359068,-0.020386568959775773,0.05586811663362003,0.04290986581170218,0.11196498893107198
Education,0.03196453327054437,-0.018992666891804132,0.03328140212698299,0.04917934378195542,0.03325817781799957,0.0012811853518829431,1.0,0.01615623082088395,0.05998814367812148,0.054834509722776,0.05825542345640399,0.021121327801012686,0.016563769799515685,-0.043681123941526144,-0.07018985021607216,0.007881116289222993,-0.014797568893166085,-0.0038369572132157803,0.019733751656562167,0.05442593147310414,0.015963919983647542,-0.013864895607410733,-0.037501662390100186,0.0008354481184689229,-0.01243434082006573,-0.07189748661211703,-0.016755271271639706,0.0673800035299098,-0.03221458678179417,0.013780983577933883,-0.008769938951251492,-0.014472254780600652,-0.0018776491006081294,0.007460876681221253,0.058583616815214706,0.044888940214924906,-0.0012862609534467064,0.06460361302816635,0.021468240697582748,0.023789443346051556,0.0314570709975771,0.06368928240694254,0.021351920044895254,-0.013769419894719371,0.018054818484328355,-0.01945634274418832,-0.05686777850447125,-0.014166333218130003,0.011526216663948758,0.02428134784450992,0.011055863688425748,-0.017413506121042536,0.01150661951641702,0.053154785431644896,-0.012246500523846775,0.0005754132455695367,0.011767523354269279,0.049721028816798976,-0.03959747489363153,-0.03903494839012504,-0.008027784065345812,0.03648386115498414,0.01887882261008377,0.018414524983917463,-0.015911765726765666,0.023591521072502297,-0.02099361232025557
LegalKnowledge,0.06574394767712698,0.04110829684984676,-0.005873000409320402,0.05069695611389757,0.06257653590617593,-0.0018390757914153182,0.01615623082088395,1.0,0.10141747338462312,0.04226415040289329,0.030464925783539612,0.06818240896773385,0.04609699946095986,0.03406528381798907,0.013783564197313724,-0.0007657168164708762,-0.01880961625264918,0.09773218753838295,0.05377157098257124,0.02879492823464492,0.07119685806511741,0.18678617187844268,0.004270478581207028,0.08953845306565317,0.046558663029544416,0.008081277559370183,0.0022390616403351487,0.15117568936747108,0.00607505373695571,0.0464234020223809,0.0914228617952719,-0.035120575619785474,0.05049844408396757,0.1026400312689951,0.07034553366776698,-0.023248290304608853,0.07709609052044931,0.10733022237210738,0.05134639890738821,0.016490076665695973,0.03503743059826323,0.1129901793732255,0.02844985320491428,0.0021544917369082394,0.02366867318079625,0.003185098756857467,0.02382535540225819,0.033173952561819216,-0.008870836645529689,0.0032608288259458576,-0.0177174504711026,0.01679346268064672,0.03574984071326607,0.008942365560446518,0.008908663827541968,0.007717136672584694,0.07618654473370086,0.05883297002624779,0.035160959696523726,0.04170364133126476,0.05388635309093849,0.036147039381971245,0.0278745441204011,-0.00044171944192035635,0.030372360783977603,0.021797915534505462,-0.01592158924186917
InvolvedInLegalDispute,-0.07654319628922779,0.12174284187461536,0.07523948055917089,0.074897154879811,0.17227977680367934,0.07130845797514464,0.05998814367812148,0.10141747338462312,1.0,0.6944510053649042,0.6268344552294854,0.5040023652431049,0.45797922063436175,0.2624144043550973,0.22598549685836952,0.033568496858617666,0.06292789117950892,-0.004445768053003537,0.08816507767625581,0.08286130447006315,-0.015158271131078076,0.10993946828596929,0.04681234623947702,0.11322253765779797,-0.0028239300284265355,0.06477052531409815,0.039355406547413825,0.07811857907003857,-0.048106242324057295,0.02296050648788912,0.025682293392637924,-0.0012281106166100978,-0.031016790617449115,0.00635571178558844,0.09935289292350497,0.0034247139472640496,0.05596508062590732,0.09501772410041316,0.07545658739146839,-0.04831954846978813,0.1269458349809985,0.128414963637282,-0.004353091752894158,0.09300928581995564,0.06644950327796244,0.07749988736889164,-0.06570149430416501,-0.018380954445610175,-0.001960834796109104,0.058834138019353964,-0.004267623273406318,0.046648526350163345,0.04698458284521831,0.01670547313080917,-0.01111828895184616,0.025351288296207197,0.05222604894047326,0.09879460000913458,0.04054783088817737,0.041649623701927416,0.04695826704730749,0.07313972855077289,0.034410625870320836,0.04271646719891319,0.009401699438693392,-0.030132760759220917,0.0017623098095001222
ExperienceWithCourtProceedings,-0.030794263697074428,0.08846261534001158,0.0626250724536397,0.03386844771163684,0.1540030111807264,0.08238236014835304,0.054834509722776,0.04226415040289329,0.6944510053649042,1.0,0.9063087653597871,0.5050403769668164,0.4445332447660013,0.09430849739016318,0.10194443486927315,0.019882361085500653,0.03138147916531326,-0.0028223962140348806,0.08469173347156785,0.09113706637777598,-0.008832403591464184,0.07059206327509011,0.06145751108920759,0.08398644019742427,0.004934679181900396,0.010158773171282935,0.022321785687293115,0.04536914835506817,-0.024739655112265797,-0.018385530000419936,-0.01679401010164968,0.014815952765220951,-0.043401155401171024,0.015053155224032546,0.09905858040291658,-0.005906877230170811,0.0055211013548628705,0.06629695651623686,0.08006225216919598,-0.01897995100992089,0.07140582526483501,0.07062365004626193,-0.007993014363992997,0.06769124557333922,0.07093592995349858,0.06733454468896796,-0.02211763328706964,0.023667972884451754,-0.001400961840489335,0.030842906875959603,0.019863749334212307,0.03532733744209472,0.03364523720356698,0.005969315034612694,-0.01513355734027682,0.015226293599616799,0.03054968117034034,0.08834076775913526,0.044564332334247066,0.010181419923337412,0.020723387753514247,0.047995444524609784,-0.00035655951525831496,0.028492013040811365,0.01812407891399767,-0.0189124323150223,-0.01122817505136833
CourtProceedingsSatisfaction,-0.03304040558253238,0.0886037853471819,0.048170078232264296,0.04074175991509014,0.13847608672600803,0.053293307455704986,0.05825542345640399,0.030464925783539612,0.6268344552294854,0.9063087653597871,1.0,0.419298672413452,0.4276228122958573,0.08324028645061211,0.10955020792876852,-0.021147169773574833,-0.00975984162783111,0.013875482635031397,0.0818158147385363,0.10677656515171331,-0.0673756552714082,0.07429103275404159,0.04792777660010941,0.10172367559147956,-0.03260413544240496,0.0010292439749259212,0.0058372307710352865,0.049452125779184675,-0.062433975420184286,-0.018225560293587392,-0.04197413773548005,-0.01380410310236469,-0.06081447627232022,0.02117413702609046,0.1034365031784011,-0.017933986525301232,-0.00807290255217712,0.04103342908080847,0.03179692083654845,-0.015187483154621212,0.07979600203228754,0.059987303056229964,-0.01766906586580439,0.06514747197764865,0.06003037422253482,0.06744353859157866,-0.036392627090663245,-0.003457657889431716,-0.007556651024508713,0.023769102176527324,0.01900326544603834,0.0273705786803307,0.0270788035372979,0.00047534143933709204,-0.019422942003374525,-0.005222168372085527,0.009226897799948088,0.08606586134606074,0.03232465829654546,-0.0034962451442083196,0.006330184495594897,0.0343765928621064,-0.030955668695356143,0.009096703582219931,0.00028455307889712527,-0.00948158472766249,-0.027831116783457104
ExperienceWithMediation,-0.07098412410385052,0.07413970266724508,0.028841846126981253,0.06456587693547053,0.12043254521118028,0.07240968595103536,0.021121327801012686,0.06818240896773385,0.5040023652431049,0.5050403769668164,0.419298672413452,1.0,0.9116791912792922,0.29157436487185456,0.33055153336860493,-0.019188021671934646,-0.009259846410252504,-0.003147484614860131,0.05265869428925993,0.07734829000288011,-0.013438075057601232,0.06484330464767263,0.0736870799875869,0.058246227436859345,-0.01789271637306198,0.04012469946152525,0.02869090735383775,0.02133633332827897,-0.022492286571042863,0.05585868440416369,0.04710216475653516,-0.052020348103069804,-0.051905110874307755,-0.03292650578649864,0.09114461337549588,-0.0030980364733743946,0.022878151540172576,0.08113367225755819,0.05951789076950893,-0.0518259129098088,0.056079649334880015,0.06304036448316741,-0.011766120992820376,0.06864305813900362,0.05252092749499657,0.06411249223113055,-0.009897576939728005,0.0027988478626214605,-0.011394112373898322,0.04055127085601728,0.0026596116826732084,0.040794298663307076,0.02789058693662405,0.03595772198778095,-0.004760379441092667,0.06617207526472917,0.026539980207991087,0.09560454996368545,0.05969523416786797,0.04358141274188155,0.005722914342891336,0.06072107520500424,0.012873071335941181,0.03845556685450702,0.04256135789810372,-0.021115788950470112,-0.011288400840115743
MediationSatisfaction,-0.07392768175082896,0.05736294618342769,0.004153287956578739,0.05436854072745211,0.10841613701156692,0.054837835770878834,0.016563769799515685,0.04609699946095986,0.45797922063436175,0.4445332447660013,0.4276228122958573,0.9116791912792922,1.0,0.31846730079513846,0.40180710330507413,-0.03880325586422403,-0.0353857110532849,0.01253110737030697,0.05262950359791303,0.08693789026690114,-0.04423521238373802,0.07546647037752506,0.06349485317912769,0.05261796438265504,-0.020313057175577687,0.044368607950923664,0.007998752011113318,0.012293137193393448,-0.036761749440758607,0.05473552530143892,0.028838128663594104,-0.08539704560226473,-0.06582578774019676,-0.03302968747896339,0.08349576005283645,-0.020908102102350487,0.020862214367385355,0.06006316846090498,0.03879700845974566,-0.06043067665417408,0.05151795137176722,0.07272919131752034,-0.021741260455731094,0.07802050638956075,0.05700380664641748,0.07248887086274554,-0.017459076713075897,-0.005002447934473885,-0.018641518645047286,0.023468385229154672,-0.004119103951012976,0.038676349506698716,0.017461900123278647,0.03641103953711896,-0.005247080333272525,0.0641369019431831,0.02131429723018899,0.12022095280696335,0.05174799080222296,0.04007290012126576,-0.014470821342751985,0.05558949252567352,0.006061471483658873,0.035912596799096454,0.042510692964331666,-0.024616343853287957,-0.015557691373169145
ExperienceWithArbitration,-0.010288638387216945,0.03762764399779208,0.011146036493610593,0.07098505685295044,0.04666988615451068,0.012050693152870124,-0.043681123941526144,0.03406528381798907,0.2624144043550973,0.09430849739016318,0.08324028645061211,0.29157436487185456,0.31846730079513846,1.0,0.835449484555213,0.04504839492789032,0.04341032035308374,0.0409344625814418,-0.01184405103173939,0.009805849856837216,0.02870969089153166,0.11452152587823401,0.08015409353250164,0.07765152124976932,-0.038366338630651975,0.039788816210708865,-0.0045806271951040495,0.04926792993283316,-0.06156244025539525,0.03174191811695368,0.05846772916409489,-0.03501677046275395,0.031223648482921664,-0.013796414433329345,0.08294255682732168,0.003928707166354338,0.04387715233069255,0.0026956232220903633,0.04382437413584787,0.0032192261708627727,0.002106541419702416,0.04698449333638041,-0.009307177637877835,0.04365515916510639,0.03218719931630171,0.04377177460262673,-0.0360812466790504,0.010713929730458375,-0.00989559754840915,0.04120608325500717,0.008757435455432595,0.00036879916661914,0.022297976660670498,0.03339767655238154,0.008647766087721864,0.01874921484183742,0.021178536255965278,0.06581406240983116,0.015028722778153845,0.021734448380946066,-0.004083444980782029,-0.004294540573781992,-0.008906961566955187,0.024733827912782558,-0.018971257724158114,-0.0025733804719461273,0.016288173839900843
ArbitrationSatisfaction,-0.016798556581911532,0.019322965219602764,0.010329853279848655,0.06786657010347866,0.015831740318910003,-0.028880790512950852,-0.07018985021607216,0.013783564197313724,0.22598549685836952,0.10194443486927315,0.10955020792876852,0.33055153336860493,0.40180710330507413,0.835449484555213,1.0,0.006744390271777319,0.024455238708247312,0.05675374412321833,-0.011752600803814175,0.02751643475367939,0.0018947232889606133,0.09836433255412506,0.06647057642430729,0.06154712275244797,-0.04402335029757701,0.01039873467562898,-0.018387474532084423,0.042283468181489176,-0.0857632805710076,0.03494468287003699,0.038098728142016744,-0.07701433702124906,-0.006702981749479882,-0.00096821083952397,0.07708803284523673,-0.009705631656160809,0.005289488173423099,-0.013977494658778825,0.028250122777540024,0.006679232592228319,-0.0025388641098561446,0.02486638941852968,-0.03720011645419678,0.06885896090030583,0.03795420420389285,0.07005270698766798,-0.05819624017719542,-0.015066031629664679,-0.021149771665598418,0.018370213870306268,0.006070137148598764,-0.0014414252235302946,0.011415688398333592,0.024598670373572558,0.033553784343471685,0.03716645695776079,0.006275407272990033,0.0667295181694128,0.014029402989242427,0.007951784868621284,-0.026441451519511303,0.019370068481557215,-0.017832644640214473,0.040980188894896095,-0.005070276637033566,-0.017265781203343433,0.009296147296564914
BF1,0.16585918345664075,-0.14414422607856348,-0.09458277714265308,0.0796308010292901,0.03650373601725677,0.16970058362875062,0.007881116289222993,-0.0007657168164708762,0.033568496858617666,0.019882361085500653,-0.021147169773574833,-0.019188021671934646,-0.03880325586422403,0.04504839492789032,0.006744390271777319,1.0,0.718867238035395,-0.5516057894159642,-0.09736900889392103,-0.20394482033004283,0.18474783568502157,-0.037093163656550576,0.1420765101817349,0.06475843450885417,0.11153562286028695,-0.05640988363172866,-0.044060121115423144,0.022308905585558123,0.1761158392907828,-0.10410501005269412,0.01612393525924726,0.11459302289198718,0.102189371557276,0.06381662451945432,-0.09945377916021066,0.12787359772514365,0.11623995916983046,-0.001094862736276419,-0.03555597987161759,0.10062868956385501,-0.1461793947617305,-0.1860699152212442,-0.011688524461080919,-0.0007096505436491667,-0.0056979960138356985,-0.017100204782553485,0.07886544427140454,0.13421973906846274,-0.011708355916493836,0.06035627041027477,0.0354545776221666,0.08903852877462615,0.01620991119650956,0.02607819039464462,0.036991030348519804,0.10581432843405109,0.08150366874188503,-0.0884801836300298,0.0897979448053473,0.1217276234243354,-0.011763527195899097,0.10096285701604013,0.09579305652482484,0.10398259410114902,0.14749015106665678,0.030149861585384633,0.09021760188653041
